Year,Month,Immature ,Mature
2003,8,0,11
2003,8,0,7
2003,8,1,28
2003,8,1,119
2003,8,34,229
2003,8,24,607
2003,8,2,190
2003,8,3,104
2003,8,8,460
2003,8,1,113
2003,8,2,48
2003,8,32,555
2003,8,305,3491
2003,8,11,1512
2003,8,0,14
2003,8,1,22
2003,8,0,74
2003,8,8,331
2003,8,65,153
2003,8,8,240
2003,8,0,30
2003,9,8,132
2003,9,3,25
2003,9,0,23
2003,9,0,9
2003,9,3,449
2003,9,1,40
2003,9,2,192
2003,9,0,15
2003,9,4,50
2003,9,0,19
2003,9,1,85
2003,9,0,87
2003,9,0,2
2003,9,1,45
2003,9,9,193
2003,9,7,185
2003,9,0,17
2003,9,0,10
2003,9,0,54
2003,9,0,77
2003,9,0,5
2003,9,0,50
2003,9,0,2
2003,9,1,13
2003,9,0,58
2003,9,0,8
2003,9,0,5
2003,9,4,128
2003,9,61,81
2003,9,0,42
2003,9,1,22
2003,9,0,27
2003,9,0,50
2003,9,2,632
2003,9,0,49
2003,9,0,3
2003,9,0,8
2003,9,0,14
2003,9,39,451
2003,9,103,498
2003,9,25,487
2003,9,5,207
2003,9,21,574
2003,9,1,14
2003,9,5,108
2003,9,30,109
2003,9,13,857
2003,9,60,1007
2003,9,4,93
2003,9,85,2580
2003,9,202,1251
2003,9,120,1259
2003,9,21,173
2003,9,0,52
2003,9,5,88
2003,9,8,102
2003,9,64,493
2003,9,14,310
2003,9,0,53
2003,9,23,1054
2003,9,0,4
2003,9,0,37
2003,9,25,170
2003,9,2,46
2003,9,0,4
2003,9,3,183
2003,9,3,386
2003,9,0,22
2003,9,1,13
2003,9,13,228
2003,9,54,622
2003,9,5,633
2003,9,1,45
2003,9,3,44
2003,9,0,19
2003,9,2,77
2003,9,54,127
2003,9,0,2
2003,9,0,3
2003,10,0,1
2003,10,0,87
2003,10,0,99
2003,10,0,4
2003,10,0,7
2003,10,0,10
2003,10,45,54
2003,10,0,6
2003,10,0,3
2003,10,0,59
2003,10,39,205
2003,10,5,52
2003,10,0,9
2003,10,0,6
2003,10,0,179
2003,10,0,71
2003,10,0,26
2003,10,0,1
2003,10,5,181
2003,10,4,1236
2003,10,32,459
2003,10,36,787
2003,10,2,190
2003,10,1,62
2003,10,0,170
2003,10,3,738
2003,10,1,67
2003,10,0,30
2003,10,14,440
2003,10,7,207
2003,10,159,2554
2003,10,43,879
2003,10,37,520
2003,10,16,719
2003,10,4,157
2003,10,0,11
2003,10,2,80
2003,10,2,723
2003,10,5,435
2003,10,0,21
2003,10,38,1300
2003,10,8,158
2003,10,2,29
2003,10,1,29
2003,10,7,176
2003,10,0,21
2003,10,0,11
2003,10,2,32
2003,10,1,59
2003,10,0,78
2003,10,1,21
2003,10,9,278
2003,10,3,145
2003,10,0,135
2003,10,0,121
2003,10,1,12
2003,10,0,26
2003,10,0,352
2003,10,0,527
2003,10,0,2
2003,11,0,3
2003,11,0,6
2003,11,0,67
2003,11,1,60
2003,11,0,52
2003,11,0,26
2003,11,21,25
2003,11,0,17
2003,11,51,269
2003,11,6,19
2003,11,0,3
2003,11,0,21
2003,11,0,7
2003,11,1,8
2003,11,6,201
2003,11,5,1450
2003,11,64,904
2003,11,72,1583
2003,11,4,433
2003,11,2,84
2003,11,1,529
2003,11,0,117
2003,11,5,159
2003,11,3,80
2003,11,6,102
2003,11,7,151
2003,11,46,652
2003,11,14,636
2003,11,23,975
2003,11,1,503
2003,11,9,428
2003,11,2,578
2003,11,1,66
2003,11,0,12
2003,11,169,5837
2003,11,76,1450
2003,11,43,657
2003,11,1,36
2003,11,7,173
2003,11,3,205
2003,11,0,105
2003,11,2,50
2003,11,1,50
2003,11,0,60
2003,11,0,9
2003,11,292,2494
2003,11,33,610
2003,11,9,92
2003,11,3,100
2003,11,3,152
2003,11,0,135
2003,11,2,35
2003,11,0,16
2003,11,0,274
2003,11,0,223
2003,11,0,3
2003,11,0,12
2003,11,9,71
2003,11,13,101
2003,11,0,167
2003,11,2,102
2003,11,72,2424
2003,12,0,9
2003,12,0,1
2003,12,0,4
2003,12,0,86
2003,12,72,85
2003,12,0,19
2003,12,0,69
2003,12,0,17
2003,12,4,43
2003,12,5,29
2003,12,9,82
2003,12,2,5
2003,12,0,10
2003,12,0,69
2003,12,3,36
2003,12,37,1239
2003,12,5,1543
2003,12,4,64
2003,12,0,7
2003,12,0,6
2003,12,1,61
2003,12,0,28
2003,12,8,263
2003,12,8,249
2003,12,39,625
2003,12,12,236
2003,12,5,73
2003,12,2,107
2003,12,1,37
2003,12,0,39
2003,12,2,104
2003,12,0,15
2003,12,0,9
2003,12,1,48
2003,12,113,2157
2003,12,247,3810
2003,12,55,2160
2003,12,3,65
2003,12,3,204
2003,12,0,1
2003,12,3,291
2003,12,0,49
2003,12,5,144
2003,12,661,5643
2003,12,202,3687
2003,12,223,2247
2003,12,29,910
2003,12,6,314
2003,12,0,12
2003,12,4,59
2003,12,0,97
2003,12,0,8
2003,12,2,189
2003,12,0,120
2003,12,0,3
2003,12,0,5
2003,12,39,318
2003,12,0,1458
2003,12,2,23
2003,12,108,3639
2004,1,0,0
2004,1,0,0
2004,1,0,17
2004,1,0,42
2004,1,0,2
2004,1,1,106
2004,1,0,8
2004,1,0,47
2004,1,0,0
2004,1,0,14
2004,1,16,39
2004,1,47,109
2004,1,0,17
2004,1,0,3
2004,1,0,3
2004,1,0,60
2004,1,0,4
2004,1,0,0
